osmid,y,x,street_count,highway,ref,geometry
298069391,32.2743135,34.8499171,3,,,POINT (34.8499171 32.2743135)
298069393,32.274587,34.8519388,3,,,POINT (34.8519388 32.274587)
298069413,32.2709121,34.8478321,1,,,POINT (34.8478321 32.2709121)
298069426,32.2720397,34.8510976,3,,,POINT (34.8510976 32.2720397)
298069428,32.2738105,34.8516813,3,,,POINT (34.8516813 32.2738105)
298069666,32.2725695,34.85072,3,,,POINT (34.85072 32.2725695)
298069741,32.271429,34.8452431,3,,,POINT (34.8452431 32.271429)
298069845,32.2718704,34.8449406,3,,,POINT (34.8449406 32.2718704)
298069847,32.2705074,34.8458332,3,,,POINT (34.8458332 32.2705074)
298069868,32.270015,34.8436647,1,,,POINT (34.8436647 32.270015)
298069869,32.2708086,34.8473209,3,,,POINT (34.8473209 32.2708086)
298069873,32.2709688,34.8455497,3,,,POINT (34.8455497 32.2709688)
298069875,32.2712593,34.8452728,3,,,POINT (34.8452728 32.2712593)
298069891,32.2722067,34.8501878,3,,,POINT (34.8501878 32.2722067)
298069892,32.2717059,34.8504882,3,,,POINT (34.8504882 32.2717059)
298069903,32.2719498,34.8480821,3,,,POINT (34.8480821 32.2719498)
298069910,32.2722168,34.8472648,3,,,POINT (34.8472648 32.2722168)
298069911,32.2717203,34.8475845,3,,,POINT (34.8475845 32.2717203)
298069913,32.2709621,34.848079,3,,,POINT (34.848079 32.2709621)
298069943,32.2727844,34.8468415,3,,,POINT (34.8468415 32.2727844)
298069949,32.2723771,34.8471476,3,,,POINT (34.8471476 32.2723771)
298069975,32.2740657,34.8480292,3,,,POINT (34.8480292 32.2740657)
298070221,32.2716599,34.8430901,3,,,POINT (34.8430901 32.2716599)
298070222,32.2713955,34.842542,4,,,POINT (34.842542 32.2713955)
298070223,32.2713581,34.8424643,3,,,POINT (34.8424643 32.2713581)
298070233,32.2726137,34.8464669,1,,,POINT (34.8464669 32.2726137)
298070234,32.2724847,34.8461873,3,,,POINT (34.8461873 32.2724847)
298070315,32.2743009,34.8453685,3,,,POINT (34.8453685 32.2743009)
298070514,32.2746493,34.8450615,4,,,POINT (34.8450615 32.2746493)
298070515,32.2741661,34.8454843,2,,,POINT (34.8454843 32.2741661)
298070556,32.2746936,34.845126,3,,,POINT (34.845126 32.2746936)
298070694,32.2718779,34.8395052,3,,,POINT (34.8395052 32.2718779)
298070695,32.2726075,34.8409278,3,,,POINT (34.8409278 32.2726075)
298070696,32.2728811,34.8414614,4,,,POINT (34.8414614 32.2728811)
298070697,32.2729128,34.8415232,4,,,POINT (34.8415232 32.2729128)
298070780,32.2717832,34.8394178,3,,,POINT (34.8394178 32.2717832)
298070830,32.2728128,34.8415059,4,,,POINT (34.8415059 32.2728128)
298070831,32.2725413,34.8409698,4,,,POINT (34.8409698 32.2725413)
298070832,32.2718281,34.8395613,3,,,POINT (34.8395613 32.2718281)
298070870,32.271261,34.8390326,3,,,POINT (34.8390326 32.271261)
298070873,32.2705463,34.8396677,3,,,POINT (34.8396677 32.2705463)
298070891,32.2701311,34.8401285,3,,,POINT (34.8401285 32.2701311)
298070893,32.2707833,34.8401698,4,,,POINT (34.8401698 32.2707833)
298070896,32.2717544,34.8395155,3,,,POINT (34.8395155 32.2717544)
298071090,32.270552,34.8392435,3,,,POINT (34.8392435 32.270552)
298071103,32.2706549,34.839469,3,,,POINT (34.839469 32.2706549)
298071203,32.2701656,34.8396543,3,,,POINT (34.8396543 32.2701656)
298071213,32.2711362,34.8387985,3,,,POINT (34.8387985 32.2711362)
298071391,32.2690552,34.8406386,3,,,POINT (34.8406386 32.2690552)
298071412,32.2695014,34.8402649,4,,,POINT (34.8402649 32.2695014)
298071429,32.2712809,34.8398333,3,,,POINT (34.8398333 32.2712809)
298071452,32.27152,34.8416532,3,,,POINT (34.8416532 32.27152)
298071453,32.2720119,34.8413253,3,,,POINT (34.8413253 32.2720119)
298071499,32.2709886,34.8420073,3,,,POINT (34.8420073 32.2709886)
298071536,32.2705356,34.8423093,3,,,POINT (34.8423093 32.2705356)
298071537,32.2693525,34.840001,3,,,POINT (34.840001 32.2693525)
298071565,32.2687304,34.8405233,3,,,POINT (34.8405233 32.2687304)
298071699,32.2728445,34.8415685,3,,,POINT (34.8415685 32.2728445)
298072090,32.2723212,34.8427415,4,,,POINT (34.8427415 32.2723212)
298072093,32.2721315,34.8420541,3,,,POINT (34.8420541 32.2721315)
298072105,32.2732266,34.8421511,3,,,POINT (34.8421511 32.2732266)
298072236,32.2734969,34.8419749,1,,,POINT (34.8419749 32.2734969)
298526229,32.2747057,34.8527412,3,motorway_junction,,POINT (34.8527412 32.2747057)
309962866,32.2784284,34.8497637,3,,,POINT (34.8497637 32.2784284)
309962867,32.2783756,34.8500718,3,,,POINT (34.8500718 32.2783756)
310096690,32.2782505,34.8524927,4,,,POINT (34.8524927 32.2782505)
310096691,32.2791767,34.8516726,4,traffic_signals,,POINT (34.8516726 32.2791767)
310096704,32.2782974,34.8525568,3,,,POINT (34.8525568 32.2782974)
310096758,32.2787897,34.8520211,3,,,POINT (34.8520211 32.2787897)
310096760,32.2788345,34.8520917,3,,,POINT (34.8520917 32.2788345)
310097982,32.2793092,34.8516061,4,traffic_signals,,POINT (34.8516061 32.2793092)
339017520,32.2731413,34.8398252,3,,,POINT (34.8398252 32.2731413)
339017522,32.2737509,34.8401943,3,,,POINT (34.8401943 32.2737509)
339017774,32.2739761,34.8403053,4,,,POINT (34.8403053 32.2739761)
339252465,32.2828804,34.8429756,4,traffic_signals,,POINT (34.8429756 32.2828804)
339745174,32.283666,34.8446128,3,,,POINT (34.8446128 32.283666)
339747665,32.2835432,34.8488788,3,,,POINT (34.8488788 32.2835432)
354862698,32.2805017,34.8527314,4,traffic_signals,3,POINT (34.8527314 32.2805017)
354863686,32.278285,34.8501909,3,,,POINT (34.8501909 32.278285)
354863749,32.2777759,34.8499191,3,traffic_signals,,POINT (34.8499191 32.2777759)
361442249,32.2736368,34.8408739,3,,,POINT (34.8408739 32.2736368)
364748637,32.2748991,34.8407686,3,,,POINT (34.8407686 32.2748991)
390157468,32.2736739,34.8409711,3,,,POINT (34.8409711 32.2736739)
404508094,32.2829817,34.8434611,3,traffic_signals,,POINT (34.8434611 32.2829817)
408468971,32.274896,34.8481513,1,,,POINT (34.8481513 32.274896)
408468972,32.2749418,34.8482232,3,,,POINT (34.8482232 32.2749418)
444498293,32.2762485,34.8453484,3,,,POINT (34.8453484 32.2762485)
500016346,32.2790974,34.851748,3,,,POINT (34.851748 32.2790974)
500016347,32.27911,34.8515727,3,,,POINT (34.8515727 32.27911)
500016348,32.2793217,34.8518311,3,,,POINT (34.8518311 32.2793217)
500016349,32.2791528,34.8518027,3,,,POINT (34.8518027 32.2791528)
888052791,32.2750787,34.8432644,3,,,POINT (34.8432644 32.2750787)
888052812,32.2749369,34.8433801,3,,,POINT (34.8433801 32.2749369)
888052817,32.2749669,34.8434429,3,,,POINT (34.8434429 32.2749669)
888052827,32.2751165,34.843403,3,,,POINT (34.843403 32.2751165)
888053525,32.2747265,34.840713,3,,,POINT (34.840713 32.2747265)
888058342,32.2782215,34.8525246,3,,,POINT (34.8525246 32.2782215)
888058353,32.2782543,34.8525957,3,,,POINT (34.8525957 32.2782543)
888058388,32.2781784,34.8523673,3,,,POINT (34.8523673 32.2781784)
1237060982,32.2835598,34.8454396,3,,,POINT (34.8454396 32.2835598)
1244007819,32.2730958,34.8402,1,,,POINT (34.8402 32.2730958)
1244007839,32.2721823,34.8400988,3,,,POINT (34.8400988 32.2721823)
